1,2,3,4,5,6
0.6,1.5,0.9,2.7,1.5,1055.5
1.8,0.3,0.9,2.7,0.9,1193.5
0.2,0.3,2.7,0.9,0.9,1107.5
1.4,2.1,2.1,0.3,1.5,1113.5
0.6,2.1,2.7,1.5,2.7,1000.5
1.0,1.5,2.1,0.9,0.9,990.5
1.4,0.3,1.5,0.9,0.9,1069.5
1.0,1.5,1.5,0.3,0.9,878.5
1.8,2.1,2.1,1.5,1.5,1194.5
1.8,0.3,2.7,0.9,2.1,860.5
0.6,0.9,2.1,2.1,0.9,1161.5
0.2,2.7,2.1,0.9,2.1,925.5
1.4,0.9,1.5,0.3,1.5,1130.5
1.0,2.7,2.7,0.3,2.1,942.5
1.8,0.9,1.5,2.7,0.3,1044.5
1.8,2.7,0.3,2.7,0.3,1077.5
1.4,0.3,2.7,2.7,0.9,1149.5
1.0,1.5,2.1,0.9,2.7,859.5
1.0,2.1,0.3,0.3,0.3,976.5
1.4,1.5,2.1,0.9,0.3,1179.5
1.0,2.1,0.3,0.9,1.5,1027.5
0.2,1.5,1.5,0.9,2.1,899.5
0.6,1.5,0.9,0.9,2.7,1037.5
1.0,2.7,0.3,0.9,1.5,859.5
0.2,2.1,0.9,0.3,2.7,1198.5
1.0,1.5,1.5,0.3,2.7,1157.5
0.6,0.3,2.1,0.3,2.7,959.5
0.2,1.5,2.7,0.3,2.1,860.5
1.8,0.3,0.9,0.3,0.9,1022.5
0.2,1.5,2.7,0.9,0.3,899.5
0.6,0.9,0.3,0.3,2.7,1157.5
0.6,2.7,0.9,2.7,1.5,855.5
1.4,2.1,1.5,2.7,2.1,1069.5
0.2,2.7,1.5,1.5,0.9,1049.5
0.2,2.1,0.3,1.5,0.3,957.5
1.0,2.1,2.7,2.1,0.3,802.5
0.2,0.3,0.9,0.9,2.1,978.5
1.8,1.5,2.1,2.1,1.5,855.5
1.8,2.1,1.5,0.3,2.7,1035.5
0.6,2.1,2.1,0.3,0.9,813.5
0.6,2.7,0.9,2.1,0.3,1051.5
1.4,1.5,0.9,1.5,1.5,961.5
0.2,1.5,2.7,2.7,0.3,858.5
0.6,2.7,0.9,2.7,0.9,813.5
0.6,0.9,2.1,2.7,0.3,1098.5
1.4,1.5,1.5,0.3,0.9,1009.5
1.4,0.9,2.1,0.9,0.3,1047.5
1.0,2.1,2.7,2.7,1.5,1088.5
0.6,2.7,0.9,0.3,2.7,1071.5
0.6,0.3,1.5,0.9,0.9,851.5
1.4,0.9,2.7,2.7,1.5,1096.5
1.4,2.1,1.5,2.7,0.9,942.5
0.6,2.7,1.5,2.7,2.1,906.5
0.6,0.9,0.9,2.1,1.5,886.5
0.6,0.9,1.5,0.9,2.7,1194.5
0.2,2.1,1.5,2.7,1.5,915.5
0.2,2.7,0.9,1.5,0.3,992.5
0.6,2.1,0.3,2.1,2.7,869.5
0.2,0.9,1.5,2.7,0.9,898.5
0.6,0.3,1.5,0.3,0.3,977.5
1.8,1.5,0.9,0.9,2.1,823.5
0.6,2.7,0.9,2.7,2.1,966.5
0.2,1.5,0.3,2.1,2.1,1180.5
1.8,0.9,1.5,2.1,1.5,1194.5
1.4,0.3,0.3,2.7,0.9,877.5
0.2,2.1,1.5,0.9,2.1,838.5
0.6,0.3,2.7,0.9,1.5,942.5
1.0,0.3,0.9,0.3,2.1,1162.5
1.0,1.5,2.7,2.1,0.3,814.5
0.6,1.5,2.7,0.9,0.9,1171.5
1.0,0.9,2.7,0.3,2.7,1012.5
1.4,2.1,1.5,0.9,2.1,937.5
0.2,0.3,2.1,2.1,2.1,1199.5
0.2,0.3,0.3,2.7,0.9,944.5
0.6,0.3,1.5,2.1,2.1,947.5
1.4,2.7,0.3,0.3,1.5,1151.5
1.8,0.9,2.7,0.9,2.1,977.5
1.8,2.7,1.5,1.5,0.3,900.5
1.4,2.7,0.9,2.1,2.1,1038.5
0.2,2.7,0.3,1.5,2.1,843.5
0.6,0.9,0.3,2.1,2.1,1155.5
1.8,0.9,0.3,2.7,1.5,1136.5
1.0,0.3,2.7,1.5,0.3,1011.5
1.8,2.1,0.9,0.3,2.7,884.5
1.8,0.9,1.5,2.1,0.9,994.5
0.6,2.1,2.1,1.5,0.9,905.5
0.6,2.1,1.5,0.9,0.9,1184.5
0.6,1.5,1.5,2.7,2.7,866.5
